Date,Ticker,Open,High,Low,Close,Volume,DailyPctChange,CumulativeReturn,MA50,MA200,Signal,Regime,RollingVol30d,Drawdown
2021-01-04,AAPL,133.52000427246094,133.61000061035156,126.76000213623048,129.41000366210938,143301900,,0.0,,,0,N/A,,0.0
2021-01-05,AAPL,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,97664900,1.236373386484213,1.236373386484213,,,0,N/A,,0.0
2021-01-06,AAPL,127.72000122070312,131.0500030517578,126.37999725341795,126.5999984741211,155088000,-3.36615236823381,-2.1713971937789567,,,0,N/A,,-3.36615236823381
2021-01-07,AAPL,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,109578200,3.412322074954277,1.1668298153970635,,,0,N/A,,-0.06869425361736292
2021-01-08,AAPL,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,105158200,0.8631262592551314,2.0400272891897053,,,0,N/A,,0.0
2021-01-11,AAPL,129.19000244140625,130.1699981689453,128.5,128.97999572753906,100384500,-2.3248824333729434,-0.3322833802656189,,,0,N/A,,-2.3248824333729434
2021-01-12,AAPL,128.5,129.69000244140625,126.86000061035156,128.8000030517578,91951100,-0.13955084644402538,-0.47137052243988453,,,0,N/A,,-2.46118888670237
2021-01-13,AAPL,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,88636800,1.6226679257536736,1.1436486250346878,,,0,N/A,,-0.8784578836054324
2021-01-14,AAPL,130.8000030517578,131.0,128.75999450683594,128.91000366210938,90221800,-1.5127173479807188,-0.3863688940968668,,,0,N/A,,-2.3778866467861426
2021-01-15,AAPL,128.77999877929688,130.22000122070312,127.0,127.13999938964844,111598500,-1.3730542410815172,-1.7541180806917689,,,0,N/A,,-3.7182912144158475
2021-01-19,AAPL,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,90757300,0.5427107477730786,-1.2209271202712424,,,0,N/A,,-3.195760032696915
2021-01-20,AAPL,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,104319500,3.28561127128284,2.024569231933815,,,0,N/A,,-0.015149013251514187
2021-01-21,AAPL,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,120150900,3.665830782882318,5.764617296941155,,,0,N/A,,0.0
2021-01-22,AAPL,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,114459400,1.6073736286376095,7.4646498638016645,,,0,N/A,,0.0
2021-01-25,AAPL,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,157611700,2.7683832904034755,10.439683273721755,,,0,N/A,,0.0
2021-01-26,AAPL,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,98390600,0.16792995818566414,10.625144587663682,,,0,N/A,,0.0
2021-01-27,AAPL,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,140843800,-0.7683752971338942,9.775128304233437,,,0,N/A,,-0.7683752971338942
2021-01-28,AAPL,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,142621100,-3.4985226707843653,5.93462055362719,,,0,N/A,,-4.240016183951322
